Token			Lexeme
-------------------------------
Keyword			int
Unknown		x1
Separator		,
Identifier		y
Separator		,
Identifier		z
Separator		;
Identifier		read
Separator		(
Unknown		x1
Separator		)
Separator		;
Identifier		read
Separator		(
Identifier		y
Separator		)
Separator		;
Keyword			function
Identifier		compareValues$
Separator		(
Separator		)
Separator		{
Keyword			if
Separator		(
Unknown		x1
Operator		>
Identifier		y
Operator		&
Unknown		x1
Operator		>
Identifier		z
Separator		)
Separator		{
Identifier		write
Separator		(
Unknown		x1
Separator		)
Separator		;
Separator		}
Keyword			else
Keyword			if
Separator		(
Identifier		y
Operator		>
Unknown		x1
Operator		&
Identifier		y
Operator		>
Identifier		z
Separator		)
Separator		{
Identifier		write
Separator		(
Identifier		y
Separator		)
Separator		;
Separator		}
Keyword			else
Keyword			if
Separator		(
Identifier		z
Operator		=>
Unknown		x1
Operator		&
Identifier		z
Operator		>
Identifier		y
Separator		)
Separator		{
Identifier		write
Separator		(
Identifier		z
Separator		)
Separator		;
Separator		}
Separator		}
