Token			Lexeme
-------------------------------
Identifier		integer
Identifier		main
Separator		(
Separator		)
Separator		{
Keyword			int
Identifier		n
Separator		;
Keyword			int
Identifier		first
Operator		=
Integer			0
Separator		;
Keyword			int
Identifier		second
Operator		=
Integer			1
Separator		;
Keyword			int
Identifier		next
Separator		;
Keyword			int
Identifier		c
Operator		=
Integer			0
Separator		;
Identifier		read
Separator		(
Identifier		n
Separator		)
Separator		;
Identifier		write
Separator		(
Identifier		n
Separator		)
Separator		;
Keyword			while
Separator		(
Identifier		c
Operator		<
Identifier		n
Separator		)
Separator		{
Keyword			if
Separator		(
Identifier		c
Operator		<=
Integer			1
Separator		)
Identifier		next
Operator		=
Identifier		c
Separator		;
Keyword			else
Separator		{
Identifier		next
Operator		=
Identifier		first
Operator		+
Identifier		second
Separator		;
Identifier		first
Operator		=
Identifier		second
Separator		;
Identifier		second
Operator		+=
Identifier		next
Separator		;
Separator		}
Identifier		write
Separator		(
Identifier		next
Separator		)
Separator		;
Separator		}
Keyword			return
Integer			0
Separator		;
Separator		}
